title,price,description,location,link
7 Seat Sofa,"ETB 85,000",Zigba Furniture ➫ኦሪጅናልና እድሜ የማይሽራቸው ጠንካራ እቃዎች ❶ ሶፋዎች ❷ በሮች ➌ የመመገቢያ ጠረጴዛዎችና ወንበሮች ➍ ብፌዎችና...,Nifas Silk-Lafto,https://jiji.com.et/nifas-silk-lafto/furniture/7-seat-sofa-A3N4Bd2okbqJcXYHquPv5POU.html?page=1&pos=1&cur_pos=1&ads_per_page=18&ads_count=2157&lid=9Hh2IuRbN4oYoFCt&indexPosition=0
Sofa Modern Furniture Ethiopia,"ETB 45,000",Modern quality L shape sofa Address - Agona / Gottera Call093*********,Kirkos,https://jiji.com.et/kirkos/furniture/sofa-modern-furniture-ethiopia-C7lNomiYC97IIUN47lpAd2Tt.html?page=1&pos=4&cur_pos=4&ads_per_page=18&ads_count=2157&lid=9Hh2IuRbN4oYoFCt&indexPosition=3
Cool Sofa Sets With Wooden Sofa Legs,"ETB 55,000",ቤትዎን በ S&M ፈርኒቸር ያስውቡ ለጥራት ለተመጣጣኝ ዋጋ ለፈጣን አቅርቦት አለንሎት ይምጡ ይጎብኙን ቤቶ የሚያስፈልገውን የእንጨት ውጤቶች...,Bole,https://jiji.com.et/bole/furniture/cool-sofa-sets-with-wooden-sofa-legs-2KeYndkQDC8YhmIsrJmHdK8e.html?page=1&pos=7&cur_pos=7&ads_per_page=18&ads_count=2157&lid=9Hh2IuRbN4oYoFCt&indexPosition=6
Full Leather Sofa,"ETB 50,000",ቤትዎን በ S&M ፈርኒቸር ያስውቡ በፈለጉት ዲዛይን ይዘዙን... ለአዲስ አበባ ደንበኖቻቸን ነጻ delivery አገልግሎት እንሰጣለን + ወይም በዚህ...,Bole,https://jiji.com.et/bole/furniture/full-leather-sofa-gmEWjxEzfGAyGxKUYnsbJ8An.html?page=1&pos=10&cur_pos=10&ads_per_page=18&ads_count=2157&lid=9Hh2IuRbN4oYoFCt&indexPosition=9
L Shape Sofa,"ETB 50,000",ቤትዎን በ S&M ፈርኒቸር ያስውቡ በፈለጉት ዲዛይን ይዘዙን... ለአዲስ አበባ ደንበኖቻቸን ነጻ delivery አገልግሎት...,Bole,https://jiji.com.et/bole/furniture/l-shape-sofa-xdE33VFGzRA6GVY2BBaHuXLO.html?page=1&pos=13&cur_pos=13&ads_per_page=18&ads_count=2157&lid=9Hh2IuRbN4oYoFCt&indexPosition=12
Modern Sofa Design With Aluminium Sofa Legs,"ETB 60,000",ቤትዎን በ S&M ፈርኒቸር ያስውቡ ለጥራት ለተመጣጣኝ ዋጋ ለፈጣን አቅርቦት አለንሎት ይምጡ ይጎብኙን ቤቶ የሚያስፈልገውን የእንጨት ውጤቶች...,Bole,https://jiji.com.et/bole/furniture/modern-sofa-design-with-aluminium-sofa-legs-yMw6WUSylAowTDT2gn3KTQoQ.html?page=1&pos=16&cur_pos=16&ads_per_page=18&ads_count=2157&lid=9Hh2IuRbN4oYoFCt&indexPosition=15
L Shape Sofa,"ETB 49,999",Best quality and simple L shape sofa with fabriqu and 1st grade arteficial leather finish,Bole,https://jiji.com.et/bole/furniture/l-shape-sofa-xcHFEF5WPiOQTBbw4NQBK4Bt.html?page=1&pos=2&cur_pos=2&ads_per_page=18&ads_count=2157&lid=9Hh2IuRbN4oYoFCt&indexPosition=1
Cool Full Package L Shape Sofa,"ETB 45,000",ቤትዎን በ S&M ፈርኒቸር ያስውቡ ለጥራት ለተመጣጣኝ ዋጋ ለፈጣን አቅርቦት አለንሎት ይምጡ ይጎብኙን ቤቶ የሚያስፈልገውን የእንጨት ውጤቶች...,Bole,https://jiji.com.et/bole/furniture/cool-full-package-l-shape-sofa-xyzoNMxzcrvN0MznTWHmSXEj.html?page=1&pos=5&cur_pos=5&ads_per_page=18&ads_count=2157&lid=9Hh2IuRbN4oYoFCt&indexPosition=4
Modern Living Room Sofa,"ETB 60,000",ቤትዎን በ S&M ፈርኒቸር ያስውቡ በፈለጉት ዲዛይን ይዘዙን... ለአዲስ አበባ ደንበኖቻቸን ነጻ delivery አገልግሎት...,Bole,https://jiji.com.et/bole/furniture/modern-living-room-sofa-3OhUoSftcKzG9dClR1A0DEg4.html?page=1&pos=8&cur_pos=8&ads_per_page=18&ads_count=2157&lid=9Hh2IuRbN4oYoFCt&indexPosition=7
Full Leather Sofa,"ETB 40,000",ቤትዎን በ S&M ፈርኒቸር ያስውቡ በፈለጉት ዲዛይን ይዘዙን... ለአዲስ አበባ ደንበኖቻቸን ነጻ delivery አገልግሎት...,Bole,https://jiji.com.et/bole/furniture/full-leather-sofa-zDyit4hoQbt6anHlcr3ZkmK1.html?page=1&pos=11&cur_pos=11&ads_per_page=18&ads_count=2157&lid=9Hh2IuRbN4oYoFCt&indexPosition=10
Cool Sofa Design With Aluminium Sofa Legs,"ETB 60,000",ቤትዎን በ S&M ፈርኒቸር ያስውቡ ለጥራት ለተመጣጣኝ ዋጋ ለፈጣን አቅርቦት አለንሎት ይምጡ ይጎብኙን ቤቶ የሚያስፈልገውን የእንጨት ውጤቶች...,Bole,https://jiji.com.et/bole/furniture/cool-sofa-design-with-aluminium-sofa-legs-hFAuIu3o51t6XVtvx1Y7JLGi.html?page=1&pos=14&cur_pos=14&ads_per_page=18&ads_count=2157&lid=9Hh2IuRbN4oYoFCt&indexPosition=13
L Shape Sofa,"ETB 47,000",ቤትዎን በ S&M ፈርኒቸር ያስውቡ በፈለጉት ዲዛይን ይዘዙን... ለአዲስ አበባ ደንበኖቻቸን ነጻ delivery አገልግሎት እንሰጣለ ወይም በዚህ...,Bole,https://jiji.com.et/bole/furniture/l-shape-sofa-7KMOZCqXNsqXS8y7GTDSsMu1.html?page=1&pos=17&cur_pos=17&ads_per_page=18&ads_count=2157&lid=9Hh2IuRbN4oYoFCt&indexPosition=16
Mejlis አረብያ መጅሊስ Arabiyan Mejlis,"ETB 11,500",ቆንጂ ቆንጆ ዘመናዊ አረብያ መጅሊሶች በተመጣጣኝ ዋጋ ! አሁኑኑ የይዘዙ251********* +,Kirkos,https://jiji.com.et/kirkos/furniture/mejlis-arabeyaa-majelise-arabiyan-mejlis-7LyAVjy8gqub0AqF1o5GzCD6.html?page=2&pos=2&cur_pos=2&ads_per_page=20&ads_count=2157&lid=9Hh2IuRbN4oYoFCt&indexPosition=19
Marvellous 3+2+1+1 Sofa Set With Table.,"ETB 65,000",ቤትዎን በ S&M ፈርኒቸር ያስውቡ በፈለጉት ዲዛይን ይዘዙን... ለአዲስ አበባ ደንበኖቻቸን ነጻ delivery አገልግሎት...,Bole,https://jiji.com.et/bole/furniture/marvellous-3-2-1-1-sofa-set-with-table-wPECc9a3UzmZufWEO9s0ZR0U.html?page=2&pos=5&cur_pos=5&ads_per_page=20&ads_count=2157&lid=9Hh2IuRbN4oYoFCt&indexPosition=22
Full Leather Sofa,"ETB 40,000",ቤትዎን በ S&M ፈርኒቸር ያስውቡ በፈለጉት ዲዛይን ይዘዙን... ለአዲስ አበባ ደንበኖቻቸን ነጻ delivery አገልግሎት...,Bole,https://jiji.com.et/bole/furniture/full-leather-sofa-zDyit4hoQbt6anHlcr3ZkmK1.html?page=2&pos=7&cur_pos=7&ads_per_page=20&ads_count=2157&lid=9Hh2IuRbN4oYoFCt&indexPosition=24
