title,year,price,status
"FORD RANGER,2017 EXCELLENT CONDITION!!",2017 | Diesel,"ETB 4,100,000 (Negotiable)",Existing
Ford,2012 | Diesel,"ETB 2,000,000 (Negotiable)",Existing
"TOYOTA PICKUP,D4D,2003,EXCELLENT CONDITION!!",2003 | Diesel,"ETB 2,280,000 (Negotiable)",Existing
"AUTOMATIC DOUBLE REVO,2017,D4D,EXCELLENT CONDITION!!",2017 | Diesel,"ETB 7,650,000 (Negotiable)",Existing
"TOYOTA PICKUP,D4D,2003,EXCELLENT CONDITION!!",2003 | Diesel,"ETB 2,250,000 (Negotiable)",Existing
Hilux pickup,2011 | Diesel,"ETB 5,800,000 (Negotiable)",Existing
ቶዮታ ኪንግካፕ,2000 | Diesel,"ETB 2,100,000 (Negotiable)",Existing
Ford Ranger,2011 | Diesel,"ETB 2,650,000 (Negotiable)",Existing
Toyota double cup 2003,2003 | Diesel,"ETB 2,150,000 (Negotiable)",Existing
"TOYOTA PICKUP,2L,4 WHEEL DRIVE.",1996 | Diesel,"ETB 1,350,000 (Negotiable)",Existing
"AUTOMATIC FORD RANGER,DOUBLE GABINA,2016.",2016 | Diesel,"ETB 5,600,000 (Negotiable)",Existing
"አስቸኳይ!! DOUBLE GABINA,KIA,DIESEL,EXCELLENT CONDITION!!",2006 | Diesel,"ETB 1,350,000 (Negotiable)",Existing
ኪውዲ 32  ኒሳን  2007ደብል ጋቢና,2007 | Diesel,"ETB 1,900,000 (Negotiable)",Existing
"በጣም አስቸኳይ!!AUTOMATIC DOUBLE REVO,2017,EXCELLENT CONDITION!!",2017 | Diesel,"ETB 7,100,000 (Negotiable)",Existing
"AUTOMATIC DOUBLE FORD RANGER,2016.",2016 | Diesel,"ETB 5,600,000 (Negotiable)",Existing
Toyota hilux invincible  2021,2021 | Diesel,"ETB 7,200,000 (Slightly neg.)",Existing
2014 Toyota HiAce HIGHROOF,2014 | Diesel,"ETB 3,700,000 (Fixed)",Existing
Ford F150 XLT 2017,2017 | Benzine,"ETB 4,300,000 (Negotiable)",Existing
Toyota Hilux 2000,2000 | Diesel,"ETB 1,900,000 (Negotiable)",Existing
"AUTOMATIC DOUBLE REVO,2017,D4D.",2017 | Diesel,"ETB 7,200,000 (Negotiable)",Existing
Volkswagen caddy pick up,1999 | Diesel,"ETB 550,000 (Negotiable)",Existing
Ford 2001,2001 | Diesel,"ETB 1,600,000 (Negotiable)",Existing
Ford F-150  2013  king cab,2013 | Diesel,"ETB 3,600,000 (Negotiable)",Existing
"ELECTRIC DOUBLE GABINA,AUTOMATIC,2023,00KM, 4 WHEEL DRIVE,470 KM/FAST CHARGE",2023 | Electric,"ETB 7,000,000 (Negotiable)",Existing
Toyota hilux 2013 automatic,2013 | Diesel,"ETB 6,500,000 (Slightly neg.)",Existing
"2019 DOUBLE GABINA,FULL OPTION,AUTOMATIC.",2019 | Diesel,"ETB 8,700,000 (Slightly neg.)",Existing
"TOYOTA KING CAB,D4D,2008,FULL OPTION.",2008 | Diesel,"ETB 2,980,000 (Negotiable)",Existing
Toyota Pick up Hilux double cap 2018,2018 | Diesel,"ETB 8,800,000 (Negotiable)",Existing
"D4D DOUBLE GABINA,2012,EXCELLENT CONDITION!!",2012 | Diesel,"ETB 4,950,000 (Negotiable)",Existing
"D4D PICKUP,2002,EXCELLENT CONDITION!!",2002 | Diesel,"ETB 2,100,000 (Negotiable)",Existing
Toyota invincible  2021,2021 | Diesel,"ETB 7,000,000 (Fixed)",Existing
Tata pickup,2018 | Diesel,"ETB 1,950,000 (Negotiable)",Existing
Toyota Revo 2017,2017 | Diesel,"ETB 5,000,000 (Negotiable)",Existing
"AUTOMATC DOUBLE REVO,2017,D4D,EXCELLENT CONDITION!!",2017 | Diesel,"ETB 8,200,000 (Negotiable)",Existing
Toyota Hilux (RIVO),2020 | Diesel,"ETB 6,200,000 (Slightly neg.)",Existing
"AUTOMATIC DOUBLE REVO,D4D,EXCELLENT CONDITION.",2017 | Diesel,"ETB 7,600,000 (Negotiable)",Existing
Toyota invincible 2023,2024 | Diesel,"ETB 11,000,000 (Slightly neg.)",Existing
Toyota Tacoma,2016 | Benzine,"ETB 3,400,000 (Slightly neg.)",Existing
"TOYOTA DOUBLE GABINA,D4D,EXCELLENT CONDITION!!",2012 | Diesel,"ETB 5,750,000 (Negotiable)",Existing
Toyota D4D (Rivo),2020 | Diesel,"ETB 6,250,000 (Slightly neg.)",Existing
Toyota d4d pickup model 2001,2001 | Diesel,"ETB 1,600,000 (Negotiable)",Existing
Toyota Hilux (Double Cab),2006 | Diesel,"EUR 3,400,000 (Negotiable)",Existing
Nissan Pickup,2004 | Diesel,"ETB 2,100,000 (Negotiable)",Existing
Toyota Tacoma 2011,2011 | Benzine,"ETB 1,850,000 (Negotiable)",Existing
TOYOTA HILUX D4D 2006 pincab,2006 | Diesel,"ETB 2,550,000 (Negotiable)",Existing
Toyota hilux 2022,2022 | Diesel,"ETB 7,500,000 (Negotiable)",Existing
Toyota hilux double cup 2018,2018 | Diesel,"ETB 8,500,000 (Fixed)",Existing
Toyota kincap 2020,2020 | Diesel,"ETB 6,400,000 (Negotiable)",Existing
"AUTOMATIC DOUBLE FORD RANGER,2016,EXCELLENT CONDITION!!",2016 | Diesel,"ETB 5,300,000 (Negotiable)",Existing
Toyota Hilux 2012,2012 | Diesel,"ETB 7,300,000 (Negotiable)",Existing
toyota longbase double cap,2024 | Diesel,"ETB 25,000,000 (Negotiable)",Existing
"Tata, 2010",2010 | Diesel,"ETB 1,950,000 (Negotiable)",Existing
Toyota Tacoma,2014 | Benzine,"ETB 3,350,000 (Negotiable)",Existing
Toyota Hilux 3L,2003 | Diesel,"ETB 2,200,000 (Slightly neg.)",Existing
"AUTOMATIC DOUBLE FORD RANGER,2016.",2016 | Diesel,"ETB 4,900,000 (Negotiable)",Existing
Toyota Invincible King Cab,2021 | Diesel,"ETB 7,200,000 (Negotiable)",Existing
Toyota D4D Auto (Doble Cab),2014 | Benzine,"ETB 7,100,000 (Slightly neg.)",Existing
"AUTOMATIC DOUBLE REVO,D4D ENGINE,2017,EXCELLENT CONDITION!!",2017 | Diesel,"ETB 7,300,000 (Negotiable)",Existing
Toyota Tacoma,2019 | Benzine,"ETB 4,000,000 (Negotiable)",Existing
