title,price,location,link
Nike Blazer Mid Victory ShoesMaster quality,"6,499ETB",Addis Ababa,https://engocha.com/classifieds/167328-nike-blazer-mid-victory-shoesmaster-quality?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=1&utm_ref=men%27s%20shoes&utm_campaign=normal
Nike Lunar Black shoes️,"6,999ETB",Addis Ababa,https://engocha.com/classifieds/162401-nike-lunar-black-shoes?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=2&utm_ref=men%27s%20shoes&utm_campaign=normal
"NIKE AF 1 BLACK ""Halloween"" Shoes","5,800ETB",Addis Ababa,https://engocha.com/classifieds/162404-nike-af-1-black-halloween-shoes?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=3&utm_ref=men%27s%20shoes&utm_campaign=normal
Men's Brand Shoes,"3,000ETB",Addis Ababa,https://engocha.com/classifieds/169360-mens-brand-shoes?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=4&utm_ref=men%27s%20shoes&utm_campaign=normal
Football Shoes,"3,500ETB",Addis Ababa,https://engocha.com/classifieds/169665-football-shoes?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=5&utm_ref=men%27s%20shoes&utm_campaign=normal
travis scott x air jordan 1 low,"3,500ETB",Addis Ababa,https://engocha.com/classifieds/103669-travis-scott-x-air-jordan-1-low?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=6&utm_ref=men%27s%20shoes&utm_campaign=normal
Nike X drake nocta,"4,300ETB",Addis Ababa,https://engocha.com/classifieds/106653-nike-x-drake-nocta?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=7&utm_ref=men%27s%20shoes&utm_campaign=normal
shoes,"12,000ETB",Addis Ababa,https://engocha.com/classifieds/168650-shoes?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=8&utm_ref=men%27s%20shoes&utm_campaign=normal
nike air zoom,"7,600ETB",Addis Ababa,https://engocha.com/classifieds/165704-nike-air-zoom?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=9&utm_ref=men%27s%20shoes&utm_campaign=normal
nike zoom,"7,500ETB",Addis Ababa,https://engocha.com/classifieds/165694-nike-zoom?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=10&utm_ref=men%27s%20shoes&utm_campaign=normal
nike zoo.,"7,500ETB",Addis Ababa,https://engocha.com/classifieds/165693-nike-zoo?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=11&utm_ref=men%27s%20shoes&utm_campaign=normal
airforce for mens,"2,150ETB",Addis Ababa,https://engocha.com/classifieds/159551-airforce-for-mens?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=12&utm_ref=men%27s%20shoes&utm_campaign=normal
Lv Nike Airforce,"3,499ETB",Addis Ababa,https://engocha.com/classifieds/112691-lv-nike-airforce?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=13&utm_ref=men%27s%20shoes&utm_campaign=normal
New Nike RUN,"2,800ETB",Addis Ababa,https://engocha.com/classifieds/156118-new-nike-run?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=14&utm_ref=men%27s%20shoes&utm_campaign=normal
Nike air force,"2,500ETB",Addis Ababa,https://engocha.com/classifieds/91820-nike-air-force?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=15&utm_ref=men%27s%20shoes&utm_campaign=normal
Nike air force shoe,"2,300ETB",Addis Ababa,https://engocha.com/classifieds/91821-nike-air-force-shoe?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=16&utm_ref=men%27s%20shoes&utm_campaign=normal
Air force 1,"2,500ETB",Addis Ababa,https://engocha.com/classifieds/91818-air-force-1?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=17&utm_ref=men%27s%20shoes&utm_campaign=normal
Nike air force1,"2,300ETB",Addis Ababa,https://engocha.com/classifieds/91817-nike-air-force1?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=18&utm_ref=men%27s%20shoes&utm_campaign=normal
Nike air force1,"2,300ETB",Addis Ababa,https://engocha.com/classifieds/91819-nike-air-force1?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=19&utm_ref=men%27s%20shoes&utm_campaign=normal
AIR FORCE  white,"4,000ETB",Addis Ababa,https://engocha.com/classifieds/152066-air-force-white?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=20&utm_ref=men%27s%20shoes&utm_campaign=normal
NIKE  DUNK SB,"4,000ETB",Addis Ababa,https://engocha.com/classifieds/151354-nike-dunk-sb?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=21&utm_ref=men%27s%20shoes&utm_campaign=normal
AIR FORCE 1 Black,"4,200ETB",Addis Ababa,https://engocha.com/classifieds/151353-air-force-1-black?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=22&utm_ref=men%27s%20shoes&utm_campaign=normal
ዘመናዊ,"4,000ETB",Addis Ababa,https://engocha.com/classifieds/150448-?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=23&utm_ref=men%27s%20shoes&utm_campaign=normal
AIR FORCE 1,"4,400ETB",Addis Ababa,https://engocha.com/classifieds/149968-air-force-1?utm_source=engocha&utm_medium=web&utm_content=category&utm_position=24&utm_ref=men%27s%20shoes&utm_campaign=normal
